Category,Item Name,Description,Price,Available
KIDS SPECIAL,SACHIN NOODLES (NO SPICE),,9.99,TRUE
KIDS SPECIAL,Cheese Dosa,,9.99,TRUE
KIDS SPECIAL,"""TEDDY BEAR"" DOSA",,9.99,TRUE
KIDS SPECIAL,KIDS SPECIAL COMBO,,11.99,TRUE
GODAVARI SPECIALITIES,AYAR SAMBAR RICE,,13.99,TRUE
GODAVARI SPECIALITIES,KODI PAPPU CHARU ( CHICKEN SAMBAR RICE ),,14.99,TRUE
GODAVARI SPECIALITIES,MAMSAM PAPPU CHARU ( GOAT SAMBAR RICE ),,19.99,TRUE
CHAATS,PAPDI CHAAT,,6.99,TRUE
CHAATS,SAMOSA CHAAT,,8.99,TRUE
CHAATS,PANI PURI,,7.99,TRUE
CHAATS,DAHI PURI,,6.99,TRUE
CHAATS,SEV PURI,,6.99,TRUE
CHAATS,MUNTHA MASALA,,7.99,TRUE
CHAATS,BHEL PURI,,6.99,TRUE
VEG- ENTREES,BENGALURU BENDI PULUSU (OKRA SPECIAL),,13.99,TRUE
VEG- ENTREES,MALAI KOFTA,,14.99,TRUE
VEG- ENTREES,PALAK PANEER,,15.99,TRUE
VEG- ENTREES,NEW DELHI CHANA MASALA,,13.99,TRUE
VEG- ENTREES,TADKA DAL (TOMATO),,12.99,TRUE
VEG- ENTREES,TADKA DAL (SPINACH),,12.99,TRUE
VEG- ENTREES,GUTTI VANKAYA KOORA (EGGPLANT SPECIAL),,14.99,TRUE
VEG- ENTREES,ENNAI KATHIRIKAI CURRY,,14.99,TRUE
VEG- ENTREES,BIHARI ALOO GOBI,,14.99,TRUE
VEG- ENTREES,PANEER BUTTER MASALA,,15.99,TRUE
VEG- ENTREES,NAVRATAN KURMA,,14.99,TRUE
VEG- ENTREES,HYDERABADI MIRCHI KA SALAN,,14.99,TRUE
VEG- ENTREES,KASHMIR KADAI PANEER,,15.99,TRUE
VEG- ENTREES,Veg Chettinadu,,13.99,TRUE
VEG- ENTREES,MADRAS VEG KORMA,,13.99,TRUE
VEG- ENTREES,DHABA STYLE ALOO KORMA,,13.99,TRUE
VEG- ENTREES,Paneer Tikka Masala,,15.99,TRUE
VEG- ENTREES,PANEER BHURJI,,15.99,TRUE
VEG- ENTREES,METHI CHAMAN,,14.99,TRUE
VEG- ENTREES,AVAKAI VEG CURRY,,13.99,TRUE
VEG- ENTREES,SHAHI PANEER,,15.99,TRUE
VEG- ENTREES,MUTTER PANEER,,15.99,TRUE
VEG- ENTREES,Butter Chana Curry (Chick Peas Butter Special),,14.99,TRUE
VEG- ENTREES,Chana Tikka Masala (Chick Peas Special),,14.99,TRUE
VEG- ENTREES,Okra Masala,,13.99,TRUE
VEG- ENTREES,Mushroom Masala,,13.99,TRUE
NON-VEGETARIAN ENTREES,GODAVARI EGG PULUSU,,13.99,TRUE
NON-VEGETARIAN ENTREES,KURNOOL KODI KURA (SPECIAL CHICKEN BONELESS),,15.99,TRUE
NON-VEGETARIAN ENTREES,CHICKEN CHETTINADU,,15.99,TRUE
NON-VEGETARIAN ENTREES,GONGURA KODI KURA (CHICKEN GONGURA),,15.99,TRUE
NON-VEGETARIAN ENTREES,GONGURA MAMSAM (GOAT GONGURA),,19.99,TRUE
NON-VEGETARIAN ENTREES,NELLORE CHEPALA PULUSU (FISH CURRY),,16.99,TRUE
NON-VEGETARIAN ENTREES,KONASEEMA ROYYALU (SPECIAL SHRIMP CURRY),,17.99,TRUE
NON-VEGETARIAN ENTREES,BUTTER CHICKEN,,15.99,TRUE
NON-VEGETARIAN ENTREES,CHICKEN TIKKA MASALA,,15.99,TRUE
NON-VEGETARIAN ENTREES,MALABAR FISH CURRY,,16.99,TRUE
NON-VEGETARIAN ENTREES,ACHARI LAMB JOSH,,19.99,TRUE
NON-VEGETARIAN ENTREES,PUNJABI LAMB CURRY (LAMB VINDALOO),,19.99,TRUE
